recordID,category,focus,caption,length_tokenization
4114,Tableau,emotion,"Paysage avec une plaine avec quelques fleurs, des collines en fond, une forêt dense et noire, Peur",29
6446,Dessin,emotion,"Des soldats sur des ruines, ville en ruine après le combat, bataille, destruction, guerre, Tristesse",29
6446,Dessin,emotion,"Des soldats sur des ruines, ville en ruine après le combat, bataille, destruction, guerre, Peur",28
6446,Dessin,emotion,"Des soldats sur des ruines, ville en ruine après le combat, bataille, destruction, guerre, Colère",28
7614,Dessin,emotion,"Portrait d'une personne vu de côté avec un voile blanc sur la tête, ses yeux regardent vers le haut, cheveux bruns ou noirs semi-longs, émotion neutre",48
7614,Dessin,emotion,"Portrait d'une personne vu de côté avec un voile blanc sur la tête, ses yeux regardent vers le haut, cheveux bruns ou noirs semi-longs, Joie",46
7614,Dessin,emotion,"Portrait d'une personne vu de côté avec un voile blanc sur la tête, ses yeux regardent vers le haut, cheveux bruns ou noirs semi-longs, Peur",46
7614,Dessin,emotion,"Portrait d'une personne vu de côté avec un voile blanc sur la tête, ses yeux regardent vers le haut, cheveux bruns ou noirs semi-longs, Surprise",45
10340,Dessin,colors,"Village dans un désert avec du sable au sol, palmier, minaret en fond, batîment avec une coupole, Teinte rouge",31
858,Tableau,emotion,"Une ville brule, la fumée et le feu, un fleuve avec des barques, des batiments en feu, un incendie, Peur",34
5376,Dessin,emotion,"Dessin des deux figures, une personne couchée de dos nu, une femme de face couché nue, un vase avec de l'eau qui coule, Surprise",38
160,Tableau,content,"Un homme marche sur un chemin avec de la neige autour, il y a un arbre et quelques buissons, le ciel est orangé",34
6394,Dessin,colors,"Portrait d'un homme chauve avec une moustache et un costume noir, il est debout, main sur la taille, fond orange, Bicolor, Teinte rouge",35
8922,Tableau,emotion,"Visage d'une petite fille aux longs cheveux noirs dans un lit sur un oreiller, couverture verte, émotion neutre",33
8922,Tableau,emotion,"Visage d'une petite fille aux longs cheveux noirs dans un lit sur un oreiller, couverture verte, Tristesse",32
8922,Tableau,emotion,"Visage d'une petite fille aux longs cheveux noirs dans un lit sur un oreiller, couverture verte, Colère",31
4086,Tableau,emotion,"Un champ avec des tas de foin, piles de foin, émotion neutre",18
7405,Dessin,colors,"Paysage avec la mer et des dunes, des oiseaux dans le ciel, une digue, des bateaux sur l'eau, le ciel est gris, Bicolor, Teinte rouge",42
1688,Tableau,emotion,"Un bateau attaqué par des monstres marins, la tempête, des nuages gris et noirs, un phare sur la colline, un monstre, Tristesse",42
1688,Tableau,emotion,"Un bateau attaqué par des monstres marins, la tempête, des nuages gris et noirs, un phare sur la colline, un monstre, Peur",41
1688,Tableau,emotion,"Un bateau attaqué par des monstres marins, la tempête, des nuages gris et noirs, un phare sur la colline, un monstre, Dégoût",44
1148,Tableau,colors,"Portrait d'une femme assise avec des cheveux coiffés noires, robe blanche en dentelle, mains qui se tiennent, ceinture, Noir et blanc",39
4036,Tableau,colors,"Toits blancs, façades, arbres sans feuilles, ciel gris, branches noires, Noir et blanc",26
1808,Tableau,emotion,"Un pot avec des fleurs sur une table, un vase à côté, des fleurs sur la table, fleurs blanches et roses, émotion neutre",35
1808,Tableau,emotion,"Un pot avec des fleurs sur une table, un vase à côté, des fleurs sur la table, fleurs blanches et roses, Joie",33
1808,Tableau,emotion,"Un pot avec des fleurs sur une table, un vase à côté, des fleurs sur la table, fleurs blanches et roses, Tristesse",34
10250,Tableau,colors,"Deux marins sur le port, ponton, voilier dans le port, mer, pecheurs, Noir et blanc",26
6462,Dessin,luminosity,"Portrait d'un homme vu de côté assis par terre avec une fine barbe et un turban, il est adossé contre un mur, Lumineux",35
7127,Dessin,luminosity,"Un chateau avec une haute tour au bord de l'eau, un pont, des barques sur l'eau, quelques nuages dans le ciel, Lumineux",35
8095,Dessin,colors,"Paysage de plaine avec une cathédrale en arrière-plan, quelques maisons, deux soldats avec des fusils, deux chiens, des collines, des moulins à vent en arrière-plan, Noir et blanc",52
10877,Tableau,emotion,"Un homme en tunique rouge agenouillé à côté de son cheval regarde un cerf avec des chiens dans une forêt, chevalier, Tristesse",39
10877,Tableau,emotion,"Un homme en tunique rouge agenouillé à côté de son cheval regarde un cerf avec des chiens dans une forêt, chevalier, Peur",38
10877,Tableau,emotion,"Un homme en tunique rouge agenouillé à côté de son cheval regarde un cerf avec des chiens dans une forêt, chevalier, Surprise",37
338,Tableau,colors,"Jésus qui sépare le pain à table avec des hommes et une fille qui apporte à manger, bougies, nourriture, repas, Couleurs vives",42
4931,Tableau,emotion,"Portrait d'une femme agée avec une robe noir et blanche, chapeau blanc sur la tête, mains croisées, fond uni, émotion neutre",37
4931,Tableau,emotion,"Portrait d'une femme agée avec une robe noir et blanche, chapeau blanc sur la tête, mains croisées, fond uni, Tristesse",36
1853,Tableau,emotion,"Une robe blanche sur un porte manteau, un mur avec des tableaux, un vase doré par terre, une commode avec une écharpe bleue, intérieur, émotion neutre",43
7996,Tableau,colors,"Portrait d'une vieille femme aux cheveux gris, assise sur une chaise en bois avec un cousin rouge, robe noire, mains jointes, intérieur, Couleurs sombres",45
8081,Tableau,colors,"Un homme torse nu et un homme avec un habit bleu qui boit dans une flaque sont dans une forêt, un fleuve, un chateau sur une colline en fond, un crépuscule, Teinte rouge",50
10807,Dessin,colors,"Un femme agenouillé avec une couronne qui parle à une femme assise avec un enfant dans ses bras, un animal derrière, des voutes, Bicolor, Teinte rouge",42
1623,Tableau,content,"Une rue d'un village avec des groupes de personnes, foule, cavalier sur un cheval, quelques arbres, fête",31
1369,Dessin,content,"Une femme avec un sein visible et une longue robe regarde vers le haut avec un dague en main, défense, agression",30
4144,Tableau,colors,"Un chemin de terre entre des collines sombres, la campagne, des plaines, des arbustes, un ciel gris, Noir et blanc",33
5867,Tableau,emotion,"Chemin entre deux maisons dans la forêt, grands arbres, chemin de boue, cheval, quelques personnes, émotion neutre",35
6446,Dessin,content,"Des soldats sur des ruines, ville en ruine après le combat, bataille, destruction, guerre",25
4315,Tableau,emotion,"Une carcase rouge d'un animal sur une table, une bouteille en verre brune, une assiette, un repas, Dégoût",35
4315,Tableau,emotion,"Une carcase rouge d'un animal sur une table, une bouteille en verre brune, une assiette, un repas, Surprise",31
7464,Tableau,colors,"Un chat joue sur une table, il fait tomber de l'encre sur une feuille, bougie, tableau, livres, Noir et blanc",33
10163,Tableau,colors,"Un malade dans son lit avec une femme à son chevet, une femme assises par terre avec un bébé, couverture rouge, Couleurs vives",35
4678,Tableau,content,"Portrait d'un homme en costume en intérieur, soirée, homme blond, commode, chaise, lampes, mains dans les poches",34
4936,Tableau,content,"Repas en intérieur, plusieurs hommes et femmes, chapeaux, instrument de musique, personnes assisses à table, discussion, repas de famille",39
8095,Dessin,emotion,"Paysage de plaine avec une cathédrale en arrière-plan, quelques maisons, deux soldats avec des fusils, deux chiens, des collines, des moulins à vent en arrière-plan, émotion neutre",53
6138,Dessin,emotion,"Des personens autour d'un lit avec un homme musclé couché et malade, une femme sur ses genoux à côté du lit, un enfant debout à côté du lit, Tristesse",49
6138,Dessin,emotion,"Des personens autour d'un lit avec un homme musclé couché et malade, une femme sur ses genoux à côté du lit, un enfant debout à côté du lit, Peur",48
1054,Tableau,emotion,"Portrait d'un vieil homme avec une longue barbe grise et des cheveux courts avec un col en dentelle et un habit noir, une main sur son torse, émotion neutre",43
7307,Dessin,colors,"Un paysage d'hiver avec un homme assis, une femme debout et un chien, des arbres sans feuilles, de l'eau et des maisons aux cheminées avec de la fumée, Noir et blanc",52
3025,Sculpture,emotion,"Sculpture d'une homme qui se fait attaqué par un serpent, mort, Tristesse",20
3025,Sculpture,emotion,"Sculpture d'une homme qui se fait attaqué par un serpent, mort, Peur",19
3025,Sculpture,emotion,"Sculpture d'une homme qui se fait attaqué par un serpent, mort, Dégoût",22
3025,Sculpture,emotion,"Sculpture d'une homme qui se fait attaqué par un serpent, mort, Surprise",18
1934,Tableau,colors,"Le dernier repas, Jésus, repas, intérieur, fenêtre en fond, Couleurs vives",29
4517,Tableau,emotion,"Portrait d'une femme avec des cheveux bruns en robe blanche avec un diadème, tapis rouge, bouquet de fleur en main, reine, princesse, Joie",40
10428,Dessin,luminosity,"Dessin d'une femme couchée avec une robe sur un lit, Lumineux",18
6636,Dessin,content,"Deux femmes avec un voile sur la tête, longue robe blanche, main sur le torse, deux femmes debouts",29
4127,Tableau,luminosity,"Une femme nue assise sur le sol, une femme nue qui prend un fruit dans un arbre, un enfant nu assis par terre, forêt, Sombre",39
7103,Dessin,emotion,"Un chien assis musclé vu de dos, Peur",14
7103,Dessin,emotion,"Un chien assis musclé vu de dos, Surprise",13
909,Tableau,luminosity,"Portrait d'une femme assise avec un grand chapeau, parapluie dans une main, robe longue noire, Sombre",29
1528,Tableau,content,"Cour intérieure avec des poutres, plafond avec des arches, couloir, hommes avec des longs habits et des capuches",32
10352,Dessin,luminosity,"Une femme assise sur le sol et adossée au mur, pieds nus, elle dort, cheveux longs, Lumineux",29
7659,Dessin,luminosity,"Un paysage avec un village et un chateau en fond, des clochers d'église, un fleuve, des vaches, des cavaliers sur des chevaux, des abres en avant plan, Lumineux",46
7844,Tableau,emotion,"Une femme est assise avec une robe bleue, elle regarde un chien assis par terre, une femme est debout avec une robe rouge, un jardin, extérieur, émotion neutre",44
1577,Tableau,content,"Paysage avec une ville, un fleuve, un pont et des barques sur l'eau, des nuages dans le ciel, églises, arbres entre les maisons",40
1786,Tableau,content,"Un table avec des légumes, choux-fleur, oignons, tomates, poireaux",23
4517,Tableau,content,"Portrait d'une femme avec des cheveux bruns en robe blanche avec un diadème, tapis rouge, bouquet de fleur en main, reine, princesse",37
1177,Tableau,emotion,"Portrait d'un homme avec des cheveux noirs et une moustache noir en costume noir avec une chemise blanche, portrait en extérieur, émotion neutre",36
1177,Tableau,emotion,"Portrait d'un homme avec des cheveux noirs et une moustache noir en costume noir avec une chemise blanche, portrait en extérieur, Joie",34
7873,Dessin,luminosity,"Une femme en robe sophistiquée rencontre un homme avec une cape, deux autres hommes à ses côtés, un arbre au-dessus d'eux, Lumineux",42
1623,Tableau,colors,"Une rue d'un village avec des groupes de personnes, foule, cavalier sur un cheval, quelques arbres, fête, Couleurs sombres",37
10352,Dessin,content,"Une femme assise sur le sol et adossée au mur, pieds nus, elle dort, cheveux longs",26
6282,Dessin,colors,"Portrait d'un homme vu de profil, cheveux dégarnis, barbiche et moustache épaisse, oreille visible, Noir et blanc",33
6386,Tableau,colors,"Un noble debout sur une scène qui parle à des personnes, discours, enfants qui jouent, politique, foule, Couleurs vives",37
5867,Tableau,luminosity,"Chemin entre deux maisons dans la forêt, grands arbres, chemin de boue, cheval, quelques personnes, Sombre",33
1985,Tableau,emotion,"Scène de chaos, hommes et femmes dénudés, combat, peroquet, mort, décès, cheval, enfer, chien, bouc, Tristesse",43
1985,Tableau,emotion,"Scène de chaos, hommes et femmes dénudés, combat, peroquet, mort, décès, cheval, enfer, chien, bouc, Peur",42
1985,Tableau,emotion,"Scène de chaos, hommes et femmes dénudés, combat, peroquet, mort, décès, cheval, enfer, chien, bouc, Surprise",41
4315,Tableau,colors,"Une carcase rouge d'un animal sur une table, une bouteille en verre brune, une assiette, un repas, Couleurs vives",35
137,Tableau,colors,"Groupe de personnes avec des chameaux dans le désert, tempête de sable, vêtements colorés, ciel orangé, Couleurs vives, Teinte rouge",42
5116,Tableau,emotion,"Portrait d'une femme avec des cheveux noirs et une robe noire, fond vert, main qui se tiennent, cheveux attachés, émotion neutre",39
5116,Tableau,emotion,"Portrait d'une femme avec des cheveux noirs et une robe noire, fond vert, main qui se tiennent, cheveux attachés, Tristesse",38
10877,Tableau,luminosity,"Un homme en tunique rouge agenouillé à côté de son cheval regarde un cerf avec des chiens dans une forêt, chevalier, Sombre",38
759,Tableau,emotion,"Femmes qui lavent des vêtements dans le fleuve, groupe de femmes agenouillées, ville en fond, émotion neutre",34
4931,Tableau,content,"Portrait d'une femme agée avec une robe noir et blanche, chapeau blanc sur la tête, mains croisées, fond uni",32
3877,Dessin,emotion,"Un femme nu se cache, cheveux noirs, femme assise sur un lit, nudité, Surprise",24
452,Tableau,luminosity,"Portrait d'une femme adulte avec des cheveux attachés noirs de face, bras croisés, robe noire, Sombre",30
7695,Tableau,content,"Intérieur avec une chaise, un fenêtre, une commode, une cheminée avec un poêle, casserole, lampe",32
4812,Tableau,colors,"Des femmes et des hommes agenouillés qui prient et qui ont des offrandes, un soldat en armure avec un drapeau, religion, Couleurs vives",41
3674,Tableau,emotion,"Jésus torse nu malade ou mort tenu par un homme chauve et une femme, un femme avec une coupe en main, un homme qui tient un marteau, Tristesse",40
3674,Tableau,emotion,"Jésus torse nu malade ou mort tenu par un homme chauve et une femme, un femme avec une coupe en main, un homme qui tient un marteau, Peur",39
4103,Tableau,colors,"Village avec une église le lond d'un chemin, cimetière sur le côté, colline, village en fond, clocher avec une croix, Noir et blanc",41
77,Dessin,emotion,"Une femme avec des cheveux courts noirs et une robe rouge assisse, bras croisés, émotion neutre",26
77,Dessin,emotion,"Une femme avec des cheveux courts noirs et une robe rouge assisse, bras croisés, Tristesse",25
77,Dessin,emotion,"Une femme avec des cheveux courts noirs et une robe rouge assisse, bras croisés, Peur",24
4659,Tableau,emotion,"Un foule dans une village avec de la neige, lac gelée, anes, charettes, maisons avec toit blanc, arbres sans feuilles, émotion neutre",39
4659,Tableau,emotion,"Un foule dans une village avec de la neige, lac gelée, anes, charettes, maisons avec toit blanc, arbres sans feuilles, Joie",37
77,Dessin,colors,"Une femme avec des cheveux courts noirs et une robe rouge assisse, bras croisés, Teinte rouge",25
9827,Tableau,emotion,"Un chien sur une rue en pavés avec un chat assis, une terrasse en bois, ue maison en bois, émotion neutre",30
9827,Tableau,emotion,"Un chien sur une rue en pavés avec un chat assis, une terrasse en bois, ue maison en bois, Joie",28
9827,Tableau,emotion,"Un chien sur une rue en pavés avec un chat assis, une terrasse en bois, ue maison en bois, Tristesse",29
5723,Tableau,emotion,"Un groupe de personne découvre une vallée, cheval, chien, montagnes, falaises, fleuve, arbres, moutons, exploration, émotion neutre",41
5723,Tableau,emotion,"Un groupe de personne découvre une vallée, cheval, chien, montagnes, falaises, fleuve, arbres, moutons, exploration, Surprise",38
7549,Dessin,content,"Un bouc devant une maison avec un lumière qui éclaire légèrement, caisse en bois, soirée, ferme",30
5836,Tableau,emotion,"Des chiens qui attaquent des canards, des oies, des cignes, un ciel bleu avec des nuages blanc, des roseaux, une attaque, la chasse, Peur",44
5836,Tableau,emotion,"Des chiens qui attaquent des canards, des oies, des cignes, un ciel bleu avec des nuages blanc, des roseaux, une attaque, la chasse, Surprise",43
8393,Dessin,luminosity,"Dessin d'un enfant qui a son doigt dans sa bouche, bambin, Lumineux",23
6963,Dessin,colors,"Paysage avec des collines et quelques abres, au centre il y a un chateau, des nuages dans le ciel, Noir et blanc",31
77,Dessin,content,"Une femme avec des cheveux courts noirs et une robe rouge assisse, bras croisés",21
5867,Tableau,content,"Chemin entre deux maisons dans la forêt, grands arbres, chemin de boue, cheval, quelques personnes",30
8329,Dessin,luminosity,"Deux hommes assis portant de grands manteaux et des chapeaux discutent, homme vu de profil, homme vu de dos, Lumineux",35
3922,Tableau,colors,"Portrait d'une petite fille debout avec une robe noire, un collier de perles blanches, un chapeau noir et du maquillage, elle tient une rose rouge dans la main, Couleurs sombres",49
6386,Tableau,content,"Un noble debout sur une scène qui parle à des personnes, discours, enfants qui jouent, politique, foule",31
4818,Tableau,content,"Des moines agenouillés discutent, prières, religion",15
2414,Tableau,colors,"Un homme agenouillé lit un livre sur un rocher, une vallée avec un fleuve et des falaises autour, des animaux qui boient dans la rivière, des arbres, Teinte rouge",50
1577,Tableau,luminosity,"Paysage avec une ville, un fleuve, un pont et des barques sur l'eau, des nuages dans le ciel, églises, arbres entre les maisons, Sombre",43
10360,Dessin,colors,"Un dessin d'une femme assisse, encre, fenêtre en fond, Noir et blanc",22
7614,Dessin,colors,"Portrait d'une personne vu de côté avec un voile blanc sur la tête, ses yeux regardent vers le haut, cheveux bruns ou noirs semi-longs, Noir et blanc",47
7294,Dessin,luminosity,"Deux vieux hommes avec des barbes et des chapeaux, religieux, sultans, Lumineux",23
1754,Tableau,content,"Une femme avec un chapeau blanc et une robe orange est assise, elle parle à une femme, enfant qui joue assis au sol, femme assise qui lit, discussion",40
3025,Sculpture,content,"Sculpture d'une homme qui se fait attaqué par un serpent, mort",16
1511,Tableau,emotion,"Un homme avec une barbe assis qui parle a deux hommes assis par terre, soldats, vieil homme avec un sceptre, chef, dirigeant, émotion neutre",42
1511,Tableau,emotion,"Un homme avec une barbe assis qui parle a deux hommes assis par terre, soldats, vieil homme avec un sceptre, chef, dirigeant, Joie",40
7292,Dessin,emotion,"Un homme marchant vers sa maison, un chien courant dans la neige, un toit blanc, plusieurs arbres sans feuilles, des oiseaux dans le ciel, émotion neutre",45
7292,Dessin,emotion,"Un homme marchant vers sa maison, un chien courant dans la neige, un toit blanc, plusieurs arbres sans feuilles, des oiseaux dans le ciel, Joie",43
1196,Tableau,colors,"Portrait d'un peintre assis portant un manteau, cheveux courts, pinceau dans la main, Noir et blanc",30
10352,Dessin,colors,"Une femme assise sur le sol et adossée au mur, pieds nus, elle dort, cheveux longs, Noir et blanc",30
1201,Tableau,content,"Une femme assise avec des cheveux noirs et un haut bleu clair lit un livre sur une table, bouquet de fleurs sur la table",32
8329,Dessin,content,"Deux hommes assis portant de grands manteaux et des chapeaux discutent, homme vu de profil, homme vu de dos",32
1754,Tableau,emotion,"Une femme avec un chapeau blanc et une robe orange est assise, elle parle à une femme, enfant qui joue assis au sol, femme assise qui lit, discussion, Peur",43
1754,Tableau,emotion,"Une femme avec un chapeau blanc et une robe orange est assise, elle parle à une femme, enfant qui joue assis au sol, femme assise qui lit, discussion, Colère",43
1803,Tableau,colors,"Portrait d'une vieille femme avec des cheveux gris et une écharpe blanche, une robe noire, ses main se tiennent, fleurs blanches, rouges et jaunes, Couleurs sombres",49
3025,Sculpture,colors,"Sculpture d'une homme qui se fait attaqué par un serpent, mort, Bicolor, Teinte rouge",23
5943,Tableau,emotion,"Jésus bénit des enfants au temple, vêtments colorés, religion, poutres, chiens, mères qui apportent leurs nourissons, Joie",42
5943,Tableau,emotion,"Jésus bénit des enfants au temple, vêtments colorés, religion, poutres, chiens, mères qui apportent leurs nourissons, Peur",42
5943,Tableau,emotion,"Jésus bénit des enfants au temple, vêtments colorés, religion, poutres, chiens, mères qui apportent leurs nourissons, Surprise",41
4568,Tableau,content,"Un quai en bois avec deux personnes dessus, quai sur la plage, la mer, des vagues, ciel nuageux",31
5393,Dessin,content,"Homme torse nu musclé debout tient un fruit dans sa main, personne vu de dos, homme barbu avec ailes, arbre fruitier",35
2414,Tableau,emotion,"Un homme agenouillé lit un livre sur un rocher, une vallée avec un fleuve et des falaises autour, des animaux qui boient dans la rivière, des arbres, émotion neutre",51
4103,Tableau,emotion,"Village avec une église le lond d'un chemin, cimetière sur le côté, colline, village en fond, clocher avec une croix, Tristesse",41
4103,Tableau,emotion,"Village avec une église le lond d'un chemin, cimetière sur le côté, colline, village en fond, clocher avec une croix, Peur",40
6089,Dessin,colors,"Bataille entre des soldats sur de chevaux avec des lances et des épées, mort, guerre, chaos, Noir et blanc",31
1724,Tableau,emotion,"Un foule qui fait la fête en extérieur, vêtements colorés, fête de village, danse, Joie",33
4332,Tableau,content,"Un panier avec des oeufs et un pot de fleurs sur une table, chaise, panier en osier, pain",28
5257,Dessin,luminosity,"Deux personnes assise à une table, une table vide avec une nappe blanche, Lumineux",20
3877,Dessin,content,"Un femme nu se cache, cheveux noirs, femme assise sur un lit, nudité",22
6284,Dessin,colors,"Portrait d'un homme avec des cheveux dégarni, une barbe et une moustache épaisse, vu de profil, oreille, chemise, Noir et blanc",38
9827,Tableau,colors,"Un chien sur une rue en pavés avec un chat assis, une terrasse en bois, ue maison en bois, Noir et blanc",29
6189,Dessin,luminosity,"Deux femmes agenouillées avec un bébé, un petit enfant, un pelerin avec une canne, un randonneur, un palmier, Lumineux",38
5909,Tableau,colors,"Scène de bataille, des soldats sur des chevaux se combattent, chaos, guerre, morts, armes, Couleurs sombres",36
4936,Tableau,emotion,"Repas en intérieur, plusieurs hommes et femmes, chapeaux, instrument de musique, personnes assisses à table, discussion, repas de famille, Peur",42
4936,Tableau,emotion,"Repas en intérieur, plusieurs hommes et femmes, chapeaux, instrument de musique, personnes assisses à table, discussion, repas de famille, Colère",42
4936,Tableau,emotion,"Repas en intérieur, plusieurs hommes et femmes, chapeaux, instrument de musique, personnes assisses à table, discussion, repas de famille, Surprise",41
4114,Tableau,content,"Paysage avec une plaine avec quelques fleurs, des collines en fond, une forêt dense et noire",26
10250,Tableau,content,"Deux marins sur le port, ponton, voilier dans le port, mer, pecheurs",22
1695,Tableau,content,"Une foule, naissance de Jésus, étable, offrandes, religion, désert, beaucoup de personnes",28
4596,Tableau,content,"Portrait d'une homme avec une barbe et une moustache, chapeau noir, baton en main, chaise, livre, tableau en fond, habit ample brun",36
5392,Tableau,luminosity,"Paysage avec des plaines avec des tas de foin, un arbre seul au milieu du champ, un village en fond, des montagnes en fond, des nuages dans le ciel, Lumineux",45
8269,Tableau,colors,"Jésus entouré d'hommes et de femmes qui le regardent et le touchent, lumière autour de sa tête, religion, Noir et blanc",38
10428,Dessin,emotion,"Dessin d'une femme couchée avec une robe sur un lit, émotion neutre",20
10779,Dessin,content,"Intérieur d'une chambre à coucher, plafond voûté, lit double, chaise, portes, armoire, bureau",34
666,Tableau,content,"Un soldat avec un casque et une épée sur un cheval, une femme sur un autre cheval, un bateau en fond",31
1511,Tableau,content,"Un homme avec une barbe assis qui parle a deux hommes assis par terre, soldats, vieil homme avec un sceptre, chef, dirigeant",37
4175,Tableau,emotion,"Chemin avec des arbres alignés, une maison le long de la route, ferme, village en fond, plaines, Peur",30
6259,Tableau,emotion,"Portrait d'une homme avec une barbe et une moustache assis avec un costume, il a les cheveux cours, un cigar dans sa main, costume noir, émotion neutre",39
4678,Tableau,emotion,"Portrait d'un homme en costume en intérieur, soirée, homme blond, commode, chaise, lampes, mains dans les poches, émotion neutre",39
4678,Tableau,emotion,"Portrait d'un homme en costume en intérieur, soirée, homme blond, commode, chaise, lampes, mains dans les poches, Tristesse",38
7890,Dessin,luminosity,"Une rue de village avec une calèche avec deux personnes dedans, des maisons, une petite église et quelques arbres, un randonneur, Lumineux",38
77,Dessin,luminosity,"Une femme avec des cheveux courts noirs et une robe rouge assisse, bras croisés, Lumineux",24
7294,Dessin,colors,"Deux vieux hommes avec des barbes et des chapeaux, religieux, sultans, Noir et blanc",24
5723,Tableau,content,"Un groupe de personne découvre une vallée, cheval, chien, montagnes, falaises, fleuve, arbres, moutons, exploration",36
1577,Tableau,emotion,"Paysage avec une ville, un fleuve, un pont et des barques sur l'eau, des nuages dans le ciel, églises, arbres entre les maisons, émotion neutre",45
8508,Dessin,colors,"Poséidon, dieu,vieil homme musclé avec une barbe, chevaux, mer, trident, Bicolor, Teinte rouge",32
137,Tableau,luminosity,"Groupe de personnes avec des chameaux dans le désert, tempête de sable, vêtements colorés, ciel orangé, Sombre",35
