recordID,category,focus,caption
10250,Tableau,colors,Noir et blanc<br>(bicolor)
6462,Dessin,luminosity,Lumineux
4659,Tableau,luminosity,Neutre
7127,Dessin,luminosity,Lumineux
3816,Tableau,luminosity,Neutre
8095,Dessin,colors,Noir et blanc<br>(bicolor)
2046,Tableau,colors,Neutre
10877,Tableau,emotion,"Tristesse, Peur, Surprise"
338,Tableau,colors,Couleurs vives
4931,Tableau,emotion,"Neutre, Tristesse"
10561,Tableau,colors,Neutre
1853,Tableau,emotion,Neutre
1511,Tableau,luminosity,Neutre
7996,Tableau,colors,Couleurs sombres
8081,Tableau,colors,Teinte rouge
10807,Dessin,colors,"Noir et blanc<br>(bicolor), Teinte rouge"
1054,Tableau,luminosity,Neutre
1623,Tableau,content,"Une rue d'un village avec des groupes de personnes, foule, cavalier sur un cheval, quelques arbres, fête"
1369,Dessin,content,"Une femme avec un sein visible et une longue robe regarde vers le haut avec un dague en main, défense, agression"
4144,Tableau,colors,Noir et blanc<br>(bicolor)
5867,Tableau,emotion,Neutre
6446,Dessin,content,"Des soldats sur des ruines, ville en ruine après le combat, bataille, destruction, guerre"
4315,Tableau,emotion,"Dégoût, Surprise"
7464,Tableau,colors,Noir et blanc<br>(bicolor)
10163,Tableau,colors,Couleurs vives
4678,Tableau,content,"Portrait d'un homme en costume en intérieur, soirée, homme blond, commode, chaise, lampes, mains dans les poches"
4936,Tableau,content,"Repas en intérieur, plusieurs hommes et femmes, chapeaux, instrument de musique, personnes assisses à table, discussion, repas de famille"
8095,Dessin,emotion,Neutre
6138,Dessin,emotion,"Tristesse, Peur"
1054,Tableau,emotion,Neutre
7307,Dessin,colors,Noir et blanc<br>(bicolor)
10807,Dessin,luminosity,Neutre
3025,Sculpture,emotion,"Tristesse, Peur, Dégoût, Surprise"
1934,Tableau,colors,Couleurs vives
4517,Tableau,emotion,Joie
10428,Dessin,luminosity,Lumineux
6636,Dessin,content,"Deux femmes avec un voile sur la tête, longue robe blanche, main sur le torse, deux femmes debouts"
4127,Tableau,luminosity,Sombre
7103,Dessin,emotion,"Peur, Surprise"
909,Tableau,luminosity,Sombre
1528,Tableau,content,"Cour intérieure avec des poutres, plafond avec des arches, couloir, hommes avec des longs habits et des capuches"
10352,Dessin,luminosity,Lumineux
7659,Dessin,luminosity,Lumineux
7844,Tableau,emotion,Neutre
1577,Tableau,content,"Paysage avec une ville, un fleuve, un pont et des barques sur l'eau, des nuages dans le ciel, églises, arbres entre les maisons"
1786,Tableau,content,"Un table avec des légumes, choux-fleur, oignons, tomates, poireaux"
4517,Tableau,content,"Portrait d'une femme avec des cheveux bruns en robe blanche avec un diadème, tapis rouge, bouquet de fleur en main, reine, princesse"
1177,Tableau,emotion,"Neutre, Joie"
1853,Tableau,luminosity,Neutre
7873,Dessin,luminosity,Lumineux
1623,Tableau,colors,Couleurs sombres
10352,Dessin,content,"Une femme assise sur le sol et adossée au mur, pieds nus, elle dort, cheveux longs"
6282,Dessin,colors,Noir et blanc<br>(bicolor)
10163,Tableau,luminosity,Neutre
6386,Tableau,colors,Couleurs vives
5867,Tableau,luminosity,Sombre
1985,Tableau,emotion,"Tristesse, Peur, Surprise"
4315,Tableau,colors,Couleurs vives
4678,Tableau,luminosity,Neutre
10207,Dessin,luminosity,Neutre
137,Tableau,colors,"Couleurs vives, Teinte rouge"
5116,Tableau,emotion,"Neutre, Tristesse"
7136,Tableau,colors,Neutre
10877,Tableau,luminosity,Sombre
10763,Sculpture,luminosity,Neutre
759,Tableau,emotion,Neutre
4931,Tableau,content,"Portrait d'une femme agée avec une robe noir et blanche, chapeau blanc sur la tête, mains croisées, fond uni"
3877,Dessin,emotion,Surprise
452,Tableau,luminosity,Sombre
7695,Tableau,content,"Intérieur avec une chaise, un fenêtre, une commode, une cheminée avec un poêle, casserole, lampe"
4812,Tableau,colors,Couleurs vives
3674,Tableau,emotion,"Tristesse, Peur"
4103,Tableau,colors,Noir et blanc<br>(bicolor)
77,Dessin,emotion,"Neutre, Tristesse, Peur"
4659,Tableau,emotion,"Neutre, Joie"
77,Dessin,colors,Teinte rouge
5604,Dessin,luminosity,Neutre
9827,Tableau,emotion,"Neutre, Joie, Tristesse"
5723,Tableau,emotion,"Neutre, Surprise"
7549,Dessin,content,"Un bouc devant une maison avec un lumière qui éclaire légèrement, caisse en bois, soirée, ferme"
5836,Tableau,emotion,"Peur, Surprise"
8393,Dessin,luminosity,Lumineux
6963,Dessin,colors,Noir et blanc<br>(bicolor)
77,Dessin,content,"Une femme avec des cheveux courts noirs et une robe rouge assisse, bras croisés"
8080,Tableau,luminosity,Neutre
965,Tableau,colors,Neutre
5867,Tableau,content,"Chemin entre deux maisons dans la forêt, grands arbres, chemin de boue, cheval, quelques personnes"
8329,Dessin,luminosity,Lumineux
3922,Tableau,colors,Couleurs sombres
6386,Tableau,content,"Un noble debout sur une scène qui parle à des personnes, discours, enfants qui jouent, politique, foule"
4818,Tableau,content,"Des moines agenouillés discutent, prières, religion"
2414,Tableau,colors,Teinte rouge
1577,Tableau,luminosity,Sombre
10360,Dessin,colors,Noir et blanc<br>(bicolor)
7614,Dessin,colors,Noir et blanc<br>(bicolor)
4343,Tableau,luminosity,Neutre
10425,Dessin,luminosity,Neutre
7294,Dessin,luminosity,Lumineux
1754,Tableau,content,"Une femme avec un chapeau blanc et une robe orange est assise, elle parle à une femme, enfant qui joue assis au sol, femme assise qui lit, discussion"
3025,Sculpture,content,"Sculpture d'une homme qui se fait attaqué par un serpent, mort"
1511,Tableau,emotion,"Neutre, Joie"
1201,Tableau,luminosity,Neutre
7292,Dessin,emotion,"Neutre, Joie"
1196,Tableau,colors,Noir et blanc<br>(bicolor)
10352,Dessin,colors,Noir et blanc<br>(bicolor)
1201,Tableau,content,"Une femme assise avec des cheveux noirs et un haut bleu clair lit un livre sur une table, bouquet de fleurs sur la table"
8329,Dessin,content,"Deux hommes assis portant de grands manteaux et des chapeaux discutent, homme vu de profil, homme vu de dos"
1754,Tableau,emotion,"Peur, Colère"
1803,Tableau,colors,Couleurs sombres
3025,Sculpture,colors,"Noir et blanc<br>(bicolor), Teinte rouge"
5943,Tableau,emotion,"Joie, Peur, Surprise"
4568,Tableau,content,"Un quai en bois avec deux personnes dessus, quai sur la plage, la mer, des vagues, ciel nuageux"
1808,Tableau,luminosity,Neutre
5393,Dessin,content,"Homme torse nu musclé debout tient un fruit dans sa main, personne vu de dos, homme barbu avec ailes, arbre fruitier"
2414,Tableau,emotion,Neutre
4103,Tableau,emotion,"Tristesse, Peur"
79,Tableau,luminosity,Neutre
6089,Dessin,colors,Noir et blanc<br>(bicolor)
1724,Tableau,emotion,Joie
4332,Tableau,content,"Un panier avec des oeufs et un pot de fleurs sur une table, chaise, panier en osier, pain"
5257,Dessin,luminosity,Lumineux
3877,Dessin,content,"Un femme nu se cache, cheveux noirs, femme assise sur un lit, nudité"
6284,Dessin,colors,Noir et blanc<br>(bicolor)
9827,Tableau,colors,Noir et blanc<br>(bicolor)
6189,Dessin,luminosity,Lumineux
5909,Tableau,colors,Couleurs sombres
4936,Tableau,emotion,"Peur, Colère, Surprise"
4114,Tableau,content,"Paysage avec une plaine avec quelques fleurs, des collines en fond, une forêt dense et noire"
10250,Tableau,content,"Deux marins sur le port, ponton, voilier dans le port, mer, pecheurs"
1695,Tableau,content,"Une foule, naissance de Jésus, étable, offrandes, religion, désert, beaucoup de personnes"
4596,Tableau,content,"Portrait d'une homme avec une barbe et une moustache, chapeau noir, baton en main, chaise, livre, tableau en fond, habit ample brun"
5392,Tableau,luminosity,Lumineux
8269,Tableau,colors,Noir et blanc<br>(bicolor)
10428,Dessin,emotion,Neutre
10779,Dessin,content,"Intérieur d'une chambre à coucher, plafond voûté, lit double, chaise, portes, armoire, bureau"
666,Tableau,content,"Un soldat avec un casque et une épée sur un cheval, une femme sur un autre cheval, un bateau en fond"
1511,Tableau,content,"Un homme avec une barbe assis qui parle a deux hommes assis par terre, soldats, vieil homme avec un sceptre, chef, dirigeant"
4362,Tableau,colors,Neutre
4175,Tableau,emotion,Peur
5393,Dessin,luminosity,Neutre
6259,Tableau,emotion,Neutre
7136,Tableau,luminosity,Neutre
4678,Tableau,emotion,"Neutre, Tristesse"
7890,Dessin,luminosity,Lumineux
77,Dessin,luminosity,Lumineux
7294,Dessin,colors,Noir et blanc<br>(bicolor)
5723,Tableau,content,"Un groupe de personne découvre une vallée, cheval, chien, montagnes, falaises, fleuve, arbres, moutons, exploration"
1577,Tableau,emotion,Neutre
8508,Dessin,colors,"Noir et blanc<br>(bicolor), Teinte rouge"
137,Tableau,luminosity,Sombre
5376,Dessin,luminosity,Lumineux
756,Tableau,content,"Une rue pavée dans une ville avec une église et une cathédrale en fond, des personnes dans la rue, canal, pont, foule"
4659,Tableau,content,"Un foule dans une village avec de la neige, lac gelée, anes, charettes, maisons avec toit blanc, arbres sans feuilles"
7743,Dessin,luminosity,Lumineux
5207,Dessin,emotion,Joie
5207,Dessin,colors,Couleurs vives
3816,Tableau,content,"Une église en hiver avec de la neige, des arbres sans feuilles, un clocher"
1934,Tableau,content,"Le dernier repas, Jésus, repas, intérieur, fenêtre en fond"
10360,Dessin,content,"Un dessin d'une femme assisse, encre, fenêtre en fond"
7852,Tableau,luminosity,Sombre
7307,Dessin,content,"Un paysage d'hiver avec un homme assis, une femme debout et un chien, des arbres sans feuilles, de l'eau et des maisons aux cheminées avec de la fumée"
7451,Tableau,content,"Un scène de chaos, des chiens qui attaquent des oiseaux, un ciel orangé"
7136,Tableau,emotion,Joie
8922,Tableau,colors,"Couleurs vives, Teinte rouge"
759,Tableau,luminosity,Neutre
8057,Tableau,colors,Noir et blanc<br>(bicolor)
7307,Dessin,emotion,Neutre
6395,Dessin,luminosity,Neutre
10763,Sculpture,emotion,"Tristesse, Peur"
8507,Dessin,colors,"Noir et blanc<br>(bicolor), Teinte rouge"
1298,Tableau,luminosity,Lumineux
5257,Dessin,content,"Deux personnes assise à une table, une table vide avec une nappe blanche"
1511,Tableau,colors,Couleurs vives
7095,Dessin,luminosity,Lumineux
1932,Tableau,luminosity,Neutre
8459,Dessin,content,"Un groupe de soldat en uniforme qui discutent, des hommes en groupe, une réunion"
1084,Dessin,emotion,Neutre
7451,Tableau,emotion,"Tristesse, Peur, Colère, Surprise"
7595,Tableau,content,Une vigne avec des raisins
7890,Dessin,colors,Noir et blanc<br>(bicolor)
6928,Dessin,colors,Noir et blanc<br>(bicolor)
3692,Tableau,emotion,"Neutre, Joie"
7844,Tableau,colors,Couleurs vives
839,Tableau,colors,Couleurs vives
6189,Dessin,emotion,"Joie, Surprise"
6636,Dessin,emotion,"Dégoût, Colère"
3928,Tableau,content,"Portrait d'une femme assise avec des cheveux noirs bouclés qui nettoie un palteau avec un chiffon, habit blanc et gris"
338,Tableau,emotion,Joie
7168,Tableau,content,"Des ouvriers au travail, groupe de mineurs, travailleurs en intérieur"
4362,Tableau,emotion,Joie
7874,Dessin,luminosity,Lumineux
1488,Tableau,emotion,"Neutre, Joie, Surprise"
4812,Tableau,luminosity,Neutre
10788,Tableau,colors,Noir et blanc<br>(bicolor)
8459,Dessin,colors,Noir et blanc<br>(bicolor)
6545,Dessin,emotion,Neutre
7806,Tableau,luminosity,Sombre
8057,Tableau,emotion,Neutre
79,Tableau,colors,Couleurs vives
8508,Dessin,content,"Poséidon, dieu,vieil homme musclé avec une barbe, chevaux, mer, trident"
6928,Dessin,emotion,Neutre
7234,Dessin,luminosity,Sombre
7059,Dessin,emotion,Neutre
4086,Tableau,content,"Un champ avec des tas de foin, piles de foin"
7890,Dessin,content,"Une rue de village avec une calèche avec deux personnes dedans, des maisons, une petite église et quelques arbres, un randonneur"
8660,Tableau,luminosity,Sombre
3941,Tableau,content,"Une repas en extérieur dans un parc, une table couverte par l'ombre des arbres, des chiens, une fillette avec sa mère, des chaises de jardin"
2248,Tableau,content,"une vache couchée, trois vaches debouts en avant plan, des vaches couchées en arrière plan, une plaine arride, ciel nuageux"
7806,Tableau,colors,Noir et blanc<br>(bicolor)
4678,Tableau,colors,Neutre
6470,Dessin,content,"L'assemblée générale, des politiciens, politique, pupitre, discours, intérieur"
6386,Tableau,emotion,"Neutre, Joie"
1934,Tableau,emotion,"Joie, Tristesse, Peur"
4970,Tableau,emotion,Tristesse
10094,Tableau,emotion,Neutre
10434,Dessin,luminosity,Lumineux
6089,Dessin,emotion,"Tristesse, Peur, Colère"
6089,Dessin,luminosity,Lumineux
5640,Tableau,content,"Portrait d'un homme fatigué avec une barbe brune et une moustache brune, cheveux dégarnis, fourrure, col blanc"
8459,Dessin,emotion,Neutre
4417,Tableau,luminosity,Sombre
1942,Tableau,emotion,"Neutre, Joie, Colère"
8393,Dessin,content,"Dessin d'un enfant qui a son doigt dans sa bouche, bambin"
884,Tableau,content,"Peintre avec une toile, femme qui donne a manger à des paons, femme qui tient un bébé dans ses bras, statues, jardin, extérieur"
1733,Tableau,content,"Un invasion d'un village par des soldats, la guerre, village sous la neige, chaos, combat, attaque, foule"
552,Tableau,luminosity,Neutre
10220,Dessin,emotion,Tristesse
1196,Tableau,content,"Portrait d'un peintre assis portant un manteau, cheveux courts, pinceau dans la main"
1724,Tableau,colors,Couleurs vives
6636,Dessin,luminosity,Lumineux
7103,Dessin,content,Un chien assis musclé vu de dos
4343,Tableau,emotion,"Neutre, Joie"
4332,Tableau,emotion,Neutre
5376,Dessin,colors,"Noir et blanc<br>(bicolor), Teinte rouge"
5179,Tableau,luminosity,Lumineux
6287,Tableau,colors,Couleurs sombres
666,Tableau,luminosity,Neutre
909,Tableau,colors,Noir et blanc<br>(bicolor)
186,Tableau,content,"Paysage avec des falaises et la mer, rochers dans l'eau, falaises blanches, mer avec des vagues, ciel bleu clair"
5116,Tableau,content,"Portrait d'une femme avec des cheveux noirs et une robe noire, fond vert, main qui se tiennent, cheveux attachés"
1688,Tableau,colors,"Couleurs sombres, Teinte verte"
6287,Tableau,content,"Un homme avec un chapeau rouge qui marche sur un chemin à côté de la forêt, prairie, forêt dense"
6143,Dessin,colors,"Noir et blanc<br>(bicolor), Teinte rouge"
1120,Tableau,luminosity,Lumineux
1458,Tableau,luminosity,Lumineux
4070,Tableau,luminosity,Neutre
338,Tableau,content,"Jésus qui sépare le pain à table avec des hommes et une fille qui apporte à manger, bougies, nourriture, repas"
186,Tableau,luminosity,Lumineux
5392,Tableau,emotion,"Neutre, Joie"
4315,Tableau,luminosity,Lumineux
2194,Tableau,colors,Couleurs sombres
7852,Tableau,content,"Une grande vague sur la mer, ciel nuageux"
355,Tableau,colors,Neutre
10836,Tableau,emotion,Joie
8558,Tableau,content,"Un femme en robe bleue avec des anges autour d'elle, une foule d'hommes et de femmes la regardent d'en bas, robes colorées, religion"
6442,Dessin,content,"Un soldat dans un paysage désolé, collines, ville en fond"
6395,Dessin,emotion,"Neutre, Surprise"
7659,Dessin,emotion,Neutre
3941,Tableau,luminosity,Sombre
1196,Tableau,luminosity,Sombre
6545,Dessin,colors,"Noir et blanc<br>(bicolor), Teinte rouge"
4812,Tableau,content,"Des femmes et des hommes agenouillés qui prient et qui ont des offrandes, un soldat en armure avec un drapeau, religion"
4568,Tableau,emotion,Neutre
9827,Tableau,content,"Un chien sur une rue en pavés avec un chat assis, une terrasse en bois, ue maison en bois"
1786,Tableau,colors,Couleurs vives
1205,Tableau,emotion,"Tristesse, Peur"
7168,Tableau,emotion,"Tristesse, Peur"
1829,Tableau,emotion,Neutre
1394,Dessin,content,"Une foule avec des hommes, des femmes et des enfants qui regardent un hpmme torse nu, guerrier, gagnant, vainqueur"
5116,Tableau,luminosity,Neutre
909,Tableau,emotion,"Neutre, Surprise"
8507,Dessin,luminosity,Lumineux
1531,Tableau,content,"Des bateaux sur la mer agitée, des grosses vaches, une tempête, des nuages, des voiliers"
10793,Dessin,content,"Un dessin d'un homme qui marche avec une faux, fermier, agriculteur, travail dans les champs"
3816,Tableau,colors,Neutre
6545,Dessin,luminosity,Lumineux
1202,Tableau,emotion,Neutre
8393,Dessin,colors,"Noir et blanc<br>(bicolor), Teinte rouge"
1369,Dessin,luminosity,Lumineux
5909,Tableau,emotion,"Tristesse, Peur, Colère"
10791,Dessin,colors,Noir et blanc<br>(bicolor)
4036,Tableau,emotion,Peur
798,Dessin,colors,Teinte rouge
7659,Dessin,colors,"Noir et blanc<br>(bicolor), Teinte rouge"
7572,Tableau,luminosity,Lumineux
1488,Tableau,colors,Couleurs vives
10561,Tableau,luminosity,Neutre
1120,Tableau,content,"Des bateaux à vapeur sur le fleuve, fumée blanche, pont, usines en fond, cheval sur une avenue avec des arbres alignés, lampadaire, ville"
7415,Tableau,content,"Ferme entre les arbres avec des vaches assises et un mouton debout, un homme est couché en dessous d'un arbre"
2324,Tableau,content,"Portrait d'une femme avec un voile blanc et une robe noire, ton pale, bijoux rouge, ville en fond"
10425,Dessin,emotion,Neutre
10163,Tableau,content,"Un malade dans son lit avec une femme à son chevet, une femme assises par terre avec un bébé, couverture rouge"
5640,Tableau,emotion,"Neutre, Peur, Surprise"
7572,Tableau,content,"Un massacre, le chaos, la mort, un combat entre des hommes musclés et des mères, bébés, soldats"
5943,Tableau,colors,Neutre
3877,Dessin,luminosity,Lumineux
1820,Tableau,luminosity,Sombre
2248,Tableau,luminosity,Sombre
10789,Dessin,content,"Un figures religieuses qui prient devant un batiment, des portes jaunes, des marches, religion"
8459,Dessin,luminosity,Lumineux
7852,Tableau,colors,Noir et blanc<br>(bicolor)
1202,Tableau,content,"Des hommes qui parlent à un sultan, des soldats, lances, intérieur, vêtements colorés"
6284,Dessin,luminosity,Lumineux
10877,Tableau,colors,Couleurs sombres
1401,Tableau,content,"Naissance de Jésus, Marie, foule qui apportent des offrandes, vêtements colorés, en fond on voit des collines et des arbres, nuages"
8541,Dessin,emotion,"Tristesse, Peur"
992,Tableau,luminosity,Sombre
1803,Tableau,emotion,"Neutre, Peur, Colère"
7168,Tableau,colors,Couleurs sombres
6395,Dessin,content,"Une femme nue reçoit un plateau d'un homme, un soldat en armure, un ange avec des ailes"
7136,Tableau,content,"Un homme rentre dans une pièce avec un poisson, intérieur, femme assise avec une robe rouge, femme debout qui utilise une cruche, homme assis, chien"
7887,Dessin,content,"Deux hommes avec des chapeaux en extérieur, jardin, homme qui s'occupent des plantes, chien assis, chateau en fond, arbres"
1695,Tableau,emotion,"Neutre, Joie"
1754,Tableau,luminosity,Lumineux
7659,Dessin,content,"Un paysage avec un village et un chateau en fond, des clochers d'église, un fleuve, des vaches, des cavaliers sur des chevaux, des abres en avant plan"
6963,Dessin,content,"Paysage avec des collines et quelques abres, au centre il y a un chateau, des nuages dans le ciel"
2194,Tableau,luminosity,Neutre
7294,Dessin,emotion,"Peur, Colère"
4343,Tableau,content,"Portrait d'une femme avec des yeux verts et des boucles d'oreilles, des cheveux noirs attachés, une robe en dentelle noires, des gants longs noirs"
6138,Dessin,luminosity,Lumineux
452,Tableau,emotion,"Neutre, Tristesse, Peur"
6284,Dessin,emotion,"Neutre, Colère"
6394,Dessin,luminosity,Neutre
7415,Tableau,colors,Neutre
6395,Dessin,colors,"Noir et blanc<br>(bicolor), Teinte rouge"
4959,Tableau,content,"Un paysage avec des plairies dorées et un arbre seul, des animaux sur un chemin, des collines, des nuages blancs dans le ciel"
10807,Dessin,emotion,"Tristesse, Peur, Colère"
1317,Dessin,luminosity,Lumineux
160,Tableau,colors,Neutre
7451,Tableau,luminosity,Neutre
3704,Dessin,luminosity,Lumineux
5402,Tableau,luminosity,Neutre
3704,Dessin,emotion,Neutre
8080,Tableau,emotion,Joie
7695,Tableau,luminosity,Neutre
7103,Dessin,luminosity,Lumineux
1803,Tableau,content,"Portrait d'une vieille femme avec des cheveux gris et une écharpe blanche, une robe noire, ses main se tiennent, fleurs blanches, rouges et jaunes"
4970,Tableau,colors,Couleurs sombres
6287,Tableau,emotion,"Neutre, Peur"
552,Tableau,colors,Neutre
1352,Tableau,colors,Noir et blanc<br>(bicolor)
3671,Dessin,content,"Un paysage avec une valée, un cavalier sur son cheval, un charette tirée par des animaux sur un chemin, un arbre sur la colline, en fond une ville et un chateau, falaise"
7307,Dessin,luminosity,Lumineux
8095,Dessin,luminosity,Lumineux
4959,Tableau,colors,Couleurs vives
1528,Tableau,emotion,Neutre
6710,Tableau,colors,Noir et blanc<br>(bicolor)
8660,Tableau,emotion,Joie
6470,Dessin,emotion,"Neutre, Tristesse, Peur, Colère"
1201,Tableau,emotion,"Neutre, Joie, Surprise"
7405,Dessin,luminosity,Neutre
7294,Dessin,content,"Deux vieux hommes avec des barbes et des chapeaux, religieux, sultans"
3692,Tableau,content,"Un bouquet de fleurs dans un vase en verre sur une table, fleur blanche, fleur rouge, fleur orange"
8572,Tableau,content,"Jésus mort avec autour de lui des hommes et des femmes qui prient et qui offrent des offrandes, religion, décès"
6189,Dessin,content,"Deux femmes agenouillées avec un bébé, un petit enfant, un pelerin avec une canne, un randonneur, un palmier"
4086,Tableau,luminosity,Neutre
10763,Sculpture,colors,Noir et blanc<br>(bicolor)
6259,Tableau,luminosity,Sombre
4096,Tableau,emotion,"Neutre, Peur"
8269,Tableau,luminosity,Sombre
8507,Dessin,content,"Naissance de Jésus, religion, anges avec des ailes, agneaux, étable, intérieur, mages, animaux, porte voutée en pierre"
6394,Dessin,emotion,"Neutre, Joie"
2248,Tableau,emotion,Neutre
4518,Tableau,luminosity,Neutre
7292,Dessin,content,"Un homme marchant vers sa maison, un chien courant dans la neige, un toit blanc, plusieurs arbres sans feuilles, des oiseaux dans le ciel"
2081,Dessin,colors,"Couleurs vives, Teinte rouge"
1599,Tableau,luminosity,Neutre
2248,Tableau,colors,Couleurs sombres
4036,Tableau,luminosity,Neutre
379,Dessin,content,"Homme debout de côté avec un chapeau et un long manteau, bras croisés"
7464,Tableau,luminosity,Lumineux
3928,Tableau,luminosity,Neutre
7379,Dessin,emotion,Neutre
355,Tableau,luminosity,Neutre
884,Tableau,emotion,"Joie, Surprise"
10360,Dessin,emotion,Neutre
186,Tableau,colors,Couleurs vives
7379,Dessin,colors,"Noir et blanc<br>(bicolor), Teinte bleue"
3025,Sculpture,luminosity,Neutre
6130,Tableau,luminosity,Sombre
10094,Tableau,content,"Portrait d'une femme avec des cheveux roux avec un col blanc et un collier, chapeau à plume, manches blanches, vêtement noir"
6446,Dessin,luminosity,Lumineux
6636,Dessin,colors,Noir et blanc<br>(bicolor)
1932,Tableau,emotion,Colère
1829,Tableau,content,"Portrait d'un jeune homme debout avec un costume rouge et une fine moustache, papier peint en fond, parquet, eventail en main, chemise rose"
6282,Dessin,emotion,Neutre
4096,Tableau,colors,Noir et blanc<br>(bicolor)
992,Tableau,emotion,"Neutre, Joie"
6963,Dessin,luminosity,Lumineux
10163,Tableau,emotion,"Tristesse, Peur"
5604,Dessin,colors,"Noir et blanc<br>(bicolor), Teinte rouge"
7103,Dessin,colors,Noir et blanc<br>(bicolor)
759,Tableau,colors,Neutre
7614,Dessin,luminosity,Lumineux
4332,Tableau,luminosity,Neutre
10450,Tableau,content,"Une femme assise dans un fauteuil confortable avec un chien sur les genoux, à côté d'elle il y a une table avec un verre dessus, la femme porte une blouse bleue"
7996,Tableau,luminosity,Neutre
4417,Tableau,content,"Un homme nu est porté par des hommes, mort, décès, transport du défund"
3671,Dessin,colors,"Noir et blanc<br>(bicolor), Teinte rouge"
7595,Tableau,emotion,Neutre
858,Tableau,content,"Une ville brule, la fumée et le feu, un fleuve avec des barques, des batiments en feu, un incendie"
6470,Dessin,luminosity,Lumineux
1577,Tableau,colors,Couleurs sombres
10791,Dessin,emotion,Neutre
1599,Tableau,colors,Couleurs sombres
2624,Tableau,content,"Une femme couchée dans son lit reçoit prend un enfant dans ses mains, trois femms autour du lit, robe noire, robe blanche, tapis en fourrure"
5723,Tableau,luminosity,Lumineux
6693,Dessin,luminosity,Sombre
4149,Tableau,colors,Noir et blanc<br>(bicolor)
8081,Tableau,emotion,Neutre
884,Tableau,luminosity,Lumineux
7962,Tableau,colors,Noir et blanc<br>(bicolor)
8508,Dessin,luminosity,Lumineux
452,Tableau,colors,Noir et blanc<br>(bicolor)
6259,Tableau,content,"Portrait d'une homme avec une barbe et une moustache assis avec un costume, il a les cheveux cours, un cigar dans sa main, costume noir"
1369,Dessin,emotion,"Peur, Colère, Surprise"
1985,Tableau,colors,"Couleurs sombres, Teinte rouge"
1298,Tableau,content,"Jésus porte sa croix avec deux hommes à côté de lui, un homme qui porte un livre ouvert dans sa main, homme musclé nu, religion"
6259,Tableau,colors,Noir et blanc<br>(bicolor)
2046,Tableau,luminosity,Neutre
7844,Tableau,content,"Une femme est assise avec une robe bleue, elle regarde un chien assis par terre, une femme est debout avec une robe rouge, un jardin, extérieur"
7742,Dessin,emotion,"Neutre, Tristesse"
965,Tableau,emotion,Neutre
10789,Dessin,emotion,Surprise
4343,Tableau,colors,Teinte verte
8558,Tableau,colors,Couleurs vives
1688,Tableau,luminosity,Sombre
2046,Tableau,emotion,"Neutre, Joie, Peur"
1196,Tableau,emotion,"Neutre, Tristesse"
